,year,selling_price,km_driven,fuel,seller_type,transmission,owner
0,2007.0,60000,70000.0,Petrol,Individual,Manual,1.0
1,2007.0,135000,50000.0,Petrol,Individual,Manual,1.0
2,2012.0,600000,100000.0,Diesel,Individual,Manual,1.0
3,2017.0,250000,46000.0,Petrol,Individual,Manual,1.0
4,2014.0,450000,141000.0,Diesel,Individual,Manual,2.0
5,2007.0,140000,125000.0,Petrol,Individual,Manual,1.0
6,2016.0,550000,25000.0,Petrol,Individual,Manual,1.0
7,2014.0,240000,60000.0,Petrol,Individual,Manual,2.0
8,2015.0,850000,25000.0,Petrol,Individual,Manual,1.0
9,2017.0,365000,78000.0,CNG,Individual,Manual,1.0
10,2015.0,260000,35000.0,Petrol,Individual,Manual,1.0
11,2014.0,250000,100000.0,Petrol,Individual,Manual,1.0
12,2007.0,135000,50000.0,Diesel,Individual,Manual,1.0
13,2014.0,450000,60000.0,Diesel,Individual,Manual,2.0
14,2017.0,365000,78000.0,Diesel,Individual,Manual,1.0
15,2015.0,585000,24000.0,Petrol,Dealer,Manual,1.0
16,2019.0,1195000,5000.0,Diesel,Dealer,Manual,1.0
17,2013.0,390000,33000.0,Diesel,Individual,Manual,2.0
18,2018.0,975000,4500.0,Diesel,Dealer,Automatic,1.0
19,2018.0,930000,14500.0,Petrol,Dealer,Manual,1.0
20,2018.0,525000,15000.0,Petrol,Individual,Manual,1.0
21,2011.0,450000,130400.0,Diesel,Dealer,Automatic,2.0
22,2016.0,900000,50000.0,Petrol,Individual,Automatic,1.0
23,2010.0,850000,119000.0,Petrol,Dealer,Automatic,1.0
24,2014.0,229999,60000.0,Petrol,Individual,Manual,4.0
25,2012.0,625000,40000.0,Diesel,Individual,Manual,1.0
26,2014.0,1050000,50000.0,Diesel,Individual,Manual,1.0
27,2014.0,560000,74000.0,Diesel,Individual,Manual,2.0
28,2014.0,290000,64000.0,Petrol,Individual,Manual,2.0
29,2012.0,275000,60000.0,Petrol,Individual,Manual,2.0
30,2009.0,411000,120000.0,Diesel,Individual,Manual,2.0
31,2009.0,150000,79000.0,Petrol,Individual,Manual,3.0
32,2019.0,500000,15000.0,Petrol,Individual,Manual,1.0
33,2006.0,100000,80000.0,Petrol,Individual,Manual,1.0
34,2017.0,725000,18500.0,Diesel,Dealer,Manual,1.0
35,2018.0,401000,10200.0,Petrol,Dealer,Manual,1.0
36,2018.0,750000,29000.0,Diesel,Dealer,Manual,1.0
37,2018.0,310000,28000.0,Petrol,Dealer,Manual,1.0
38,2016.0,665000,46000.0,Diesel,Dealer,Manual,1.0
39,2014.0,465000,70000.0,Diesel,Individual,Manual,1.0
40,2012.0,160000,60000.0,Petrol,Individual,Manual,2.0
41,2014.0,675000,90000.0,Diesel,Dealer,Manual,1.0
42,2013.0,300000,80000.0,Petrol,Dealer,Manual,1.0
43,2005.0,70000,80000.0,Diesel,Individual,Manual,1.0
44,2014.0,240000,73300.0,Petrol,Dealer,Manual,2.0
45,2014.0,525000,92000.0,Diesel,Dealer,Manual,1.0
46,2009.0,151000,66764.0,Petrol,Dealer,Manual,2.0
47,2009.0,140000,100000.0,Petrol,Individual,Manual,1.0
48,2011.0,350000,60000.0,Diesel,Individual,Manual,1.0
49,2017.0,570000,60000.0,Diesel,Individual,Manual,1.0
50,2018.0,300000,31000.0,Petrol,Individual,Manual,1.0
51,2007.0,100000,39000.0,Diesel,Individual,Manual,1.0
52,2009.0,500000,120000.0,Diesel,Individual,Manual,3.0
53,2006.0,130000,110000.0,Petrol,Individual,Manual,3.0
54,2017.0,925000,35000.0,Diesel,Individual,Manual,1.0
55,2018.0,750000,60000.0,Diesel,Individual,Manual,1.0
56,2007.0,200000,54000.0,Petrol,Individual,Automatic,2.0
57,2010.0,248000,63000.0,Diesel,Individual,Manual,2.0
58,2014.0,450000,120000.0,Diesel,Individual,Manual,2.0
59,2005.0,80000,120000.0,Petrol,Individual,Manual,3.0
60,2014.0,650000,76000.0,Petrol,Individual,Manual,2.0
61,2015.0,450000,80000.0,Diesel,Individual,Manual,1.0
62,2019.0,650000,25000.0,Diesel,Individual,Manual,1.0
63,2016.0,495000,11958.0,Petrol,Dealer,Manual,1.0
64,2015.0,371000,20000.0,Petrol,Dealer,Manual,1.0
65,2017.0,1025000,9000.0,Petrol,Dealer,Manual,1.0
66,2015.0,750000,70000.0,Diesel,Individual,Manual,1.0
67,2013.0,600000,120000.0,Diesel,Individual,Manual,1.0
68,2007.0,80000,58000.0,Petrol,Dealer,Manual,2.0
69,2013.0,325000,62200.0,Diesel,Individual,Manual,1.0
70,2015.0,350000,53000.0,Diesel,Individual,Manual,2.0
71,2017.0,210000,15000.0,Petrol,Dealer,Manual,2.0
72,2013.0,450000,50000.0,Petrol,Individual,Manual,1.0
73,2013.0,1150000,53000.0,Diesel,Dealer,Automatic,1.0
74,2009.0,210000,63500.0,Petrol,Dealer,Automatic,1.0
75,2008.0,175000,29173.0,Petrol,Dealer,Manual,1.0
76,2017.0,628000,120000.0,Diesel,Individual,Manual,1.0
77,2010.0,600000,100000.0,Diesel,Individual,Manual,1.0
78,2017.0,399000,30000.0,Petrol,Individual,Manual,1.0
79,2019.0,750000,15000.0,Petrol,Individual,Manual,1.0
80,2017.0,315000,16000.0,Petrol,Individual,Manual,1.0
81,2012.0,600000,60000.0,Diesel,Individual,Manual,1.0
82,2010.0,100000,60000.0,Petrol,Individual,Manual,4.0
83,2011.0,250000,110000.0,Petrol,Individual,Manual,3.0
84,2017.0,350000,25000.0,Petrol,Individual,Manual,1.0
85,2016.0,780000,60000.0,Diesel,Individual,Manual,1.0
86,2014.0,434000,79350.0,Diesel,Individual,Manual,2.0
87,2016.0,690000,80000.0,Petrol,Individual,Automatic,1.0
88,2014.0,555000,90000.0,Diesel,Individual,Manual,2.0
89,2007.0,120000,60000.0,Petrol,Individual,Manual,2.0
90,2014.0,500000,120000.0,Diesel,Individual,Manual,2.0
91,2013.0,165000,60000.0,Diesel,Individual,Manual,2.0
92,2004.0,95000,50000.0,Diesel,Individual,Manual,1.0
93,2018.0,550000,20000.0,Petrol,Individual,Manual,1.0
94,2007.0,100000,110000.0,Diesel,Individual,Manual,4.0
95,2012.0,100000,50000.0,Petrol,Individual,Manual,2.0
96,2012.0,500000,100000.0,Diesel,Individual,Manual,1.0
97,2016.0,800000,70000.0,Diesel,Individual,Manual,2.0
98,2016.0,840000,70000.0,Diesel,Individual,Manual,2.0
99,2016.0,490000,50000.0,Petrol,Individual,Manual,1.0
100,2010.0,125000,81000.0,Diesel,Individual,Manual,2.0
101,2012.0,400000,120000.0,Diesel,Individual,Manual,3.0
102,2014.0,1000000,3600.0,Diesel,Dealer,Manual,1.0
103,2015.0,530000,60000.0,Petrol,Dealer,Manual,1.0
104,2017.0,840000,49213.0,Diesel,Dealer,Manual,1.0
105,2015.0,229999,40000.0,Petrol,Individual,Manual,1.0
106,2012.0,130000,80000.0,Petrol,Individual,Manual,1.0
107,2015.0,200000,70000.0,Petrol,Individual,Manual,1.0
108,2011.0,120000,70000.0,Diesel,Individual,Manual,1.0
109,2003.0,75000,57000.0,Diesel,Individual,Manual,1.0
110,2016.0,250000,120000.0,Diesel,Individual,Manual,1.0
111,2005.0,100000,30000.0,Petrol,Individual,Manual,1.0
112,2013.0,280000,60000.0,Petrol,Individual,Manual,2.0
113,2015.0,540000,5000.0,Petrol,Individual,Manual,1.0
114,2018.0,700000,10000.0,Petrol,Individual,Manual,1.0
115,2015.0,525000,100000.0,Diesel,Individual,Manual,1.0
116,2016.0,430000,80000.0,Diesel,Individual,Manual,1.0
117,2002.0,65000,60000.0,Petrol,Individual,Manual,1.0
118,2018.0,800000,35000.0,Diesel,Individual,Manual,1.0
119,2007.0,75000,60000.0,Petrol,Individual,Manual,2.0
